"Rimantas Jonas Dagys","Q562964"
"Rimantas Markauskas (1954)","Q12671333"
"Rimantas Markauskas","Q12671333"
"Rimantas Pleikys","Q259882"
"Rimantas Remeika","Q4231816"
"Rimantas Ruzas","Q12671343"
"Rimantas Sinkevičius","Q59723"
"Rimantas Smetona","Q11834904"
"Rimantė Šalaševičiūtė","Q6556452"
"Rimas Andrikis","Q2153211"
"Rimas Antanas Ručys","Q15240798"
"Rimas Valčiukas","Q2153212"
"Rimvydas Raimondas Survila","Q1341453"
"Rimvydas Survila","Q1341453"
"Rimvydas Turčinskas","Q980933"
"Rimvydas Valatka","Q5766480"
"Rimvydas Vaštakas","Q1768619"
"Rita Miliūtė","Q27652365"
"Rita Tamašunienė","Q9310614"
"Ričardas Juška","Q6335993"
"Ričardas Sargūnas","Q12671512"
"Ričardas Žurinskas","Q15728383"
"Robertas Šarknickas","Q28934148"
"Rokas Žilinskas","Q552497"
"Rolandas Paksas","Q296956"
"Rolandas Paulauskas","Q7360522"
"Rolandas Pavilionis","Q1235376"
"Rolandas Zuoza","Q12671617"
"Rolands Pakss","Q296956"
"Roma Žakaitienė","Q541403"
"Romanas Algimantas Sedlickas","Q12671638"
"Romas Venclovas","Q15304060"
"Romuald Rudzys","Q4360954"
"Romualda Hofertienė","Q5619015"
"Romualda Kšanienė","Q12671683"
"Romualdas Ignas Bloškys","Q12671690"
"Romualdas Ozolas","Q281340"
"Romualdas Rudzys","Q4360954"
"Romualdas Sikorskis","Q1309934"
"Ruoks Žėlinskis","Q552497"
"Ruolands Paksos","Q296956"
"Ryszard Maciejkianiec","Q9324816"
"Rytas Kupčinskas","Q1722310"
"Rytis Šatkauskas","Q82353"
"Ryšard Maciejkianiec","Q9324816"
"Rūta Gajauskaitė (1946)","Q15920031"
"Rūta Gajauskaitė","Q15920031"
"Rūta Miliūtė","Q27652365"
"Rūta Rutkelytė","Q541383"
"Samuelis Landau","Q16471972"
"Saulios Skvernelis","Q1797508"
"Saulius Bucevičius","Q9334049"
"Saulius Girdauskas","Q4241811"
"Saulius Jakimavičius","Q12672459"
"Saulius Kubiliūnas","Q6335330"
"Saulius Lapėnas","Q9334050"
"Saulius Nefas","Q9334051"
"Saulius Pečeliūnas","Q5618926"
"Saulius Skvernelis","Q1797508"
"Saulius Stoma","Q9334052"
"Saulius Šaltenis","Q599550"
"Saulüs Skvernâlis","Q1797508"
"Sauļus Skvernelis","Q1797508"
"Sergej Dmitrijev","Q552283"
"Sergej Dmitrijew","Q552283"
"Sergej Pirožkov","Q15920218"
"Sergej Ursul","Q12672733"
"Sergejus Dmitrijevas","Q552283"
"Sergejus Jovaisa","Q2453848"
"Sergejus Jovaiša","Q2453848"
"Sergėjus Jovaiša","Q2453848"
"Siergiej Dmitrijew","Q552283"
"Sigita Burbienė","Q386177"
"Sigitas Kaktys","Q4476143"
"Sigitas Slavickas","Q15504908"
"Sigitas Urbonas","Q12672845"
"Simas Ramutis Petrikis","Q1645278"
"Simonas Gentvilas","Q27577960"
"Skirmantas Pabedinskas","Q1411235"
"Sofija Daubaraitė","Q12673446"
"Stanislav Akanovič","Q9341513"
"Stanislavas Peško","Q9342802"
"Stanislovas Buškevičius","Q2331254"
"Stanislovas Gediminas Ilgunas","Q1668716"
"Stanislovas Gediminas Ilgūnas","Q1668716"
"Stanislovas Giedraitis (1947)","Q9341490"
"Stanislovas Giedraitis","Q9341490"
"Stanisław Akanowicz","Q9341513"
"Stanisław Pieszko","Q9342802"
"Stasys Brundza","Q3498754"
"Stasys Jakeliūnas","Q27671969"
"Stasys Kašauskas","Q12673761"
"Stasys Kružinauskas","Q9344553"
"Stasys Malkevičius","Q7602953"
"Stasys Mikelis","Q12673778"
"Stasys Stačiokas","Q2333564"
"Stasys Tumėnas","Q16473251"
"Stasys Šedbaras","Q574618"
"Stefanija Ladigienė","Q12673897"
"Steponas Kairys","Q971087"
"Tadas Langaitis","Q16473801"
"Tautvydas Lideikis","Q2397495"
"Tomas Tomilinas","Q28376223"
"Vaclov Stankevič","Q9369613"
"Vaclovas Karbauskis","Q12676011"
"Vaclovas Lapė","Q2507097"
"Vaidotas Antanaitis","Q1675049"
"Vaidotas Bacevičius","Q1595098"
"Valdas Petrauskas","Q12676349"
"Valdas Skarbalius","Q15138339"
"Valdas Vasiliauskas","Q955656"
"Valdemar Tomaševski","Q1502078"
"Valdemaras Katkus","Q7909384"
